"genes","logFC","logCPM","LR","PValue","FDR","Gene_Symbol"
"ENSG00000124120",-0.428413023150126,5.45740409847911,38.4667209830209,5.56953439311831e-10,1.02630605909762e-07,"TTPAL"
"ENSG00000130021",-0.520433622204489,4.31421448399229,38.0352371766298,6.94784270663954e-10,1.2622566629992e-07,"PUDP"
"ENSG00000156232",-0.624958401965573,4.6633495558867,37.5953233777525,8.70529459892419e-10,1.55957770877115e-07,"WHAMM"
"ENSG00000171262",-0.456006277710565,5.23637273068594,37.3235061275548,1.00071141081815e-09,1.76824335454018e-07,"FAM98B"
"ENSG00000136045",-0.543914426128642,6.24893462441437,36.8910185007888,1.24920084485287e-09,2.17749212131854e-07,"PWP1"
"ENSG00000135766",-0.456565736690524,5.43363896063458,36.8242033879708,1.29275343543077e-09,2.2233635418162e-07,"EGLN1"
"ENSG00000117155",-0.534310577816381,5.62860969094134,36.6495835527998,1.41389219352443e-09,2.39970992161469e-07,"SSX2IP"
"ENSG00000139433",-0.569994527096151,6.06838977492301,36.5096875151089,1.51909381501804e-09,2.54477806752178e-07,"GLTP"
"ENSG00000091527",-0.397911256292235,7.65621722638343,36.4803790536382,1.5421079431299e-09,2.55021158441443e-07,"CDV3"
"ENSG00000119979",-0.555863593067006,5.12038872556284,36.1441833532948,1.83244622095396e-09,2.99199035494749e-07,"DENND10"
"ENSG00000108946",-0.475485065453067,8.51928812412378,35.9185320139475,2.05742491990201e-09,3.31734050522701e-07,"PRKAR1A"
"ENSG00000022277",-0.514894067646989,7.27155678449131,35.8484605653398,2.13276482568977e-09,3.38836042165085e-07,"RTF2"
"ENSG00000165244",-1.07772447019093,4.8149800085135,35.8291501348712,2.15400848573819e-09,3.38836042165085e-07,"ZNF367"
"ENSG00000171302",-0.443463852246912,6.66822061625389,35.673340113214,2.33335454967677e-09,3.62625787184104e-07,"CANT1"
"ENSG00000139505",-0.720546252371322,5.28648063070757,35.2764658601754,2.86068062123314e-09,4.39284753967694e-07,"MTMR6"
"ENSG00000161813",-0.445403306531651,6.9501747473625,33.8236633481506,6.0340434773937e-09,9.11879250354163e-07,"LARP4"
"ENSG00000174013",-0.462035413489203,5.48416836080151,33.8090092733022,6.07966629432189e-09,9.11879250354163e-07,"FBXO45"
"ENSG00000129128",-0.661810838810476,6.88408218948898,33.6427948091758,6.62197082386869e-09,9.81802317897497e-07,"SPCS3"
"ENSG00000164124",-1.12985223661312,2.23543269653262,33.4330282402526,7.37606366929422e-09,1.08118005988893e-06,"TMEM144"
"ENSG00000110880",-0.546105001398742,7.91847013817896,32.9221137513168,9.59258832247594e-09,1.39027861541143e-06,"CORO1C"
"ENSG00000108179",-0.789517397003363,7.2278615125824,32.8005049345912,1.02118314520453e-08,1.46358237666592e-06,"PPIF"
"ENSG00000126773",-0.48040572936075,6.65760949132181,32.6824716274291,1.08511372439566e-08,1.53811889351425e-06,"PCNX4"
"ENSG00000006576",-0.552148750268676,6.08708072821372,32.6015223000533,1.13126109002936e-08,1.58610182611834e-06,"PHTF2"
"ENSG00000008441",-0.552443674209701,3.91065892843274,32.178758293647,1.40619766109462e-08,1.95038103553328e-06,"NFIX"
"ENSG00000115806",-0.372445277874097,6.63357482498961,32.1405257281303,1.43414351696437e-08,1.96798055588547e-06,"GORASP2"
"ENSG00000198908",-0.846280594994272,2.54661781797831,31.7777740052243,1.72859574009185e-08,2.34706910015208e-06,"GPRASP3"
"ENSG00000133703",-0.467680558673845,5.70941290292297,31.5460732667596,1.94763823561428e-08,2.61693600012381e-06,"KRAS"
"ENSG00000212747",0.426495920872976,5.08416150033343,31.3043086512916,2.20589538110833e-08,2.93338603308416e-06,"RTL8B"
"ENSG00000005059",-0.58480156363244,4.18977603662922,31.2439590051421,2.27554485740318e-08,2.99512786894323e-06,"MCUB"
"ENSG00000183864",-0.435705140827986,6.22847689513723,31.0768933319166,2.4800620298124e-08,3.23134546692426e-06,"TOB2"
"ENSG00000114999",-0.408253981536466,5.91669320606729,30.9878574462601,2.59647764245213e-08,3.34919651099901e-06,"TTL"
"ENSG00000111145",-0.477027865398784,6.59247228985654,30.7196988439309,2.98123080007493e-08,3.80741545447193e-06,"ELK3"
"ENSG00000104660",-0.373030556054561,4.95692280871994,30.4996050751616,3.33934478932255e-08,4.22296161151682e-06,"LEPROTL1"
"ENSG00000108349",-0.342245301604075,6.62875620067876,30.0083835792714,4.30182410751087e-08,5.38730380221191e-06,"CASC3"
"ENSG00000198855",-0.795148412153734,3.41003325289823,29.6758744295562,5.10664276588373e-08,6.28574671055519e-06,"FICD"
"ENSG00000074201",-0.402604718871606,6.4686432644594,29.6720596695661,5.11670210565389e-08,6.28574671055519e-06,"CLNS1A"
"ENSG00000114098",-0.418013217586609,5.40444103681735,29.6011062575328,5.30746392419457e-08,6.45858275077224e-06,"ARMC8"
"ENSG00000119392",-0.387439588309812,6.10442167438784,29.3853165455493,5.93254439630615e-08,7.15176543625729e-06,"GLE1"
"ENSG00000119396",-0.344768007106436,7.44453231368285,29.2962694797013,6.21151596659021e-08,7.41873559750436e-06,"RAB14"
"ENSG00000117308",-0.450358684549248,5.37990391693965,29.1841086694748,6.58168129197613e-08,7.78872541148625e-06,"GALE"
"ENSG00000166479",-0.419631783671478,5.3522424217542,29.1072251641913,6.84811167930466e-08,8.03034477739552e-06,"TMX3"
"ENSG00000081154",-0.467884726348223,6.91882740129057,28.9258185306666,7.52037984506779e-08,8.73922338932698e-06,"PCNP"
"ENSG00000125885",-0.73673594441434,5.56527452639062,28.4766349207972,9.48360814128044e-08,1.09222376262836e-05,"MCM8"
"ENSG00000275498",-0.622997962917658,5.82274511868533,28.415726608617,9.78670609498125e-08,1.11715683114304e-05,"PDXDC1"
"ENSG00000186111",-0.431796655616891,5.63646145900083,28.3740965613274,9.99943593990286e-08,1.13142740516497e-05,"PIP5K1C"
"ENSG00000117280",-0.541682904615781,5.1959591944018,28.3026863787935,1.03751901660597e-07,1.1637354604522e-05,"RAB29"
"ENSG00000050344",-0.372939631861606,5.50106356094674,28.1619036103204,1.11579307636401e-07,1.24074266310512e-05,"NFE2L3"
"ENSG00000174606",-0.476202864085511,4.45560424703722,27.6882283917832,1.42527384829154e-07,1.57133396317201e-05,"ANGEL2"
"ENSG00000171617",-0.860622249014892,6.14237372872991,27.4298519745125,1.62897168892903e-07,1.78068693351657e-05,"ENC1"
"ENSG00000145391",-0.352985584935817,6.86814868036238,27.4120310945587,1.64405225965708e-07,1.78206975607703e-05,"SETD7"
"ENSG00000168610",0.289576631009394,7.56794060618184,26.8613708975178,2.18584470559129e-07,2.34960090478517e-05,"STAT3"
"ENSG00000175893",-0.407723843286351,4.53123761858583,26.7244782149526,2.34630295499366e-07,2.50123651375729e-05,"ZDHHC21"
"ENSG00000198894",-0.37385786035811,5.63890504908993,26.68907393258,2.38968984382857e-07,2.51917095964284e-05,"CIPC"
"ENSG00000112096",-0.539178959825568,6.567290739284,26.6789960042862,2.40218643333645e-07,2.51917095964284e-05,NA
"ENSG00000128928",-0.426526022182698,6.03214048366251,26.385303842516,2.79660218810954e-07,2.9091428729375e-05,"IVD"
"ENSG00000184402",-0.385324799248656,5.26082248378682,26.1260369280859,3.198418680171e-07,3.30051220444206e-05,"SS18L1"
"ENSG00000179151",-0.358168708492268,5.99048914198952,26.1077686950516,3.22882291068761e-07,3.3054433908698e-05,"EDC3"
"ENSG00000113648",-0.560461192805306,7.79788581459957,25.670439189859,4.04983280271494e-07,4.11329081277323e-05,"MACROH2A1"
"ENSG00000011566",-0.328309089523485,5.56327761739,25.5128782729523,4.39439914685417e-07,4.42838707775562e-05,"MAP4K3"
"ENSG00000136819",-0.33153527041166,6.09929400711085,25.4621938984281,4.51137189080932e-07,4.5110221720581e-05,"C9orf78"
"ENSG00000126391",-0.572777992048409,5.42592037410932,25.3505429087379,4.78017831293497e-07,4.74304000450371e-05,"FRMD8"
"ENSG00000101966",-0.546704177456549,6.04201365470558,25.1704140873161,5.24811636240631e-07,5.16483033057164e-05,"XIAP"
"ENSG00000206560",-0.435466784621165,6.55551378776135,25.1567794299465,5.28535238107959e-07,5.16483033057164e-05,"ANKRD28"
"ENSG00000102781",-0.493290962316915,4.1842001443953,25.0034049625797,5.72291594672825e-07,5.55036787946223e-05,"KATNAL1"
"ENSG00000130958",0.520714687003524,4.75244408129782,24.8694805182607,6.13459707949185e-07,5.9052363976392e-05,"SLC35D2"
"ENSG00000143222",-0.38312728634539,5.8315408507388,24.8381220276583,6.23520664188893e-07,5.95762447953521e-05,"UFC1"
"ENSG00000130956",0.43146537694367,4.60680182221099,24.772766854494,6.45023893342663e-07,6.11776705899045e-05,"HABP4"
"ENSG00000121060",-0.267262346146466,7.41037474698683,24.5564596987812,7.21640149539772e-07,6.79447904300257e-05,"TRIM25"
"ENSG00000113048",-0.4451074944882,5.98530920211677,24.4317947417095,7.69875753961851e-07,7.19610677561878e-05,"MRPS27"
"ENSG00000161800",-0.67684020105063,6.97053533205672,24.3323531178625,8.10659911752971e-07,7.52280733935365e-05,"RACGAP1"
"ENSG00000162419",-0.357497575693773,4.57476035969778,24.2977853361346,8.25339014261118e-07,7.60431996068154e-05,"GMEB1"
"ENSG00000087299",-0.360809065526985,5.32427212132185,24.2573182398838,8.42862251148519e-07,7.71069516139344e-05,"L2HGDH"
